,currency,rate
0,USD,1.0
1,AED,3.6725
2,AFN,70.5756
3,ALL,94.1235
4,AMD,396.7173
5,ANG,1.79
6,AOA,923.0199
7,ARS,1032.75
8,AUD,1.6115
9,AWG,1.79
10,AZN,1.7001
11,BAM,1.9014
12,BBD,2.0
13,BDT,121.0581
14,BGN,1.9007
15,BHD,0.376
16,BIF,2929.5532
17,BMD,1.0
18,BND,1.3681
19,BOB,6.9358
20,BRL,6.173
21,BSD,1.0
22,BTN,85.828
23,BWP,13.9819
24,BYN,3.3093
25,BZD,2.0
26,CAD,1.4411
27,CDF,2848.8448
28,CHF,0.9107
29,CLP,996.8498
30,CNY,7.3232
31,COP,4414.5866
32,CRC,510.0975
33,CUP,24.0
34,CVE,107.1978
35,CZK,24.4589
36,DJF,177.721
37,DKK,7.2578
38,DOP,61.2303
39,DZD,136.0822
40,EGP,50.7799
41,ERN,15.0
42,ETB,126.2512
43,EUR,0.9722
44,FJD,2.3251
45,FKP,0.8066
46,FOK,7.2582
47,GBP,0.8066
48,GEL,2.8108
49,GGP,0.8066
50,GHS,15.002
51,GIP,0.8066
52,GMD,72.5692
53,GNF,8636.5838
54,GTQ,7.727
55,GYD,209.2364
56,HKD,7.7765
57,HNL,25.4635
58,HRK,7.3249
59,HTG,130.6625
60,HUF,400.9711
61,IDR,16227.126
62,ILS,3.6532
63,IMP,0.8066
64,INR,85.8264
65,IQD,1311.0274
66,IRR,41960.6466
67,ISK,139.5689
68,JEP,0.8066
69,JMD,156.4521
70,JOD,0.709
71,JPY,157.3904
72,KES,129.2297
73,KGS,86.983
74,KHR,4037.5636
75,KID,1.6115
76,KMF,478.2827
77,KRW,1469.2338
78,KWD,0.3088
79,KYD,0.8333
80,KZT,525.1933
81,LAK,21902.7158
82,LBP,89500.0
83,LKR,293.1942
84,LRD,184.3384
85,LSL,18.7167
86,LYD,4.9151
87,MAD,10.1289
88,MDL,18.4556
89,MGA,4695.7703
90,MKD,59.1633
91,MMK,2102.7625
92,MNT,3422.3427
93,MOP,8.0099
94,MRU,39.8863
95,MUR,46.8829
96,MVR,15.4773
97,MWK,1746.444
98,MXN,20.6379
99,MYR,4.4776
100,MZN,64.0022
101,NAD,18.7167
102,NGN,1537.8956
103,NIO,36.8783
104,NOK,11.3738
105,NPR,137.3249
106,NZD,1.7865
107,OMR,0.3845
108,PAB,1.0
109,PEN,3.7515
110,PGK,4.0484
111,PHP,58.018
112,PKR,278.825
113,PLN,4.1533
114,PYG,7844.0437
115,QAR,3.64
116,RON,4.8229
117,RSD,112.9652
118,RUB,111.1242
119,RWF,1414.9064
120,SAR,3.75
121,SBD,8.5314
122,SCR,14.2095
123,SDG,545.1467
124,SEK,11.1304
125,SGD,1.368
126,SHP,0.8066
127,SLE,22.9188
128,SLL,22918.8259
129,SOS,571.8171
130,SRD,35.5952
131,SSP,3898.7824
132,STN,23.8185
133,SYP,13011.5018
134,SZL,18.7167
135,THB,34.3013
136,TJS,10.9205
137,TMT,3.5003
138,TND,3.2142
139,TOP,2.3895
140,TRY,35.3683
141,TTD,6.7663
142,TVD,1.6115
143,TWD,32.8944
144,TZS,2412.7973
145,UAH,42.0603
146,UGX,3678.6543
147,UYU,43.9455
148,UZS,12884.4416
149,VES,52.5723
150,VND,25467.3873
151,VUV,118.8574
152,WST,2.8379
153,XAF,637.7103
154,XCD,2.7
155,XDR,0.7698
156,XOF,637.7103
157,XPF,116.0126
158,YER,250.3029
159,ZAR,18.7257
160,ZMW,27.9507
161,ZWL,5.8267
