,realtime_start,realtime_end,date,value
0,2024-12-17,2024-12-17,1919-01-01,4.8654
1,2024-12-17,2024-12-17,1919-02-01,4.6504
2,2024-12-17,2024-12-17,1919-03-01,4.516
3,2024-12-17,2024-12-17,1919-04-01,4.5966
4,2024-12-17,2024-12-17,1919-05-01,4.6235
5,2024-12-17,2024-12-17,1919-06-01,4.9192
6,2024-12-17,2024-12-17,1919-07-01,5.2149
7,2024-12-17,2024-12-17,1919-08-01,5.2955
8,2024-12-17,2024-12-17,1919-09-01,5.188
9,2024-12-17,2024-12-17,1919-10-01,5.1342
10,2024-12-17,2024-12-17,1919-11-01,5.0536
11,2024-12-17,2024-12-17,1919-12-01,5.1342
12,2024-12-17,2024-12-17,1920-01-01,5.6181
13,2024-12-17,2024-12-17,1920-02-01,5.6181
14,2024-12-17,2024-12-17,1920-03-01,5.5106
15,2024-12-17,2024-12-17,1920-04-01,5.2149
16,2024-12-17,2024-12-17,1920-05-01,5.3493
17,2024-12-17,2024-12-17,1920-06-01,5.403
18,2024-12-17,2024-12-17,1920-07-01,5.2686
19,2024-12-17,2024-12-17,1920-08-01,5.2955
20,2024-12-17,2024-12-17,1920-09-01,5.1073
21,2024-12-17,2024-12-17,1920-10-01,4.8923
22,2024-12-17,2024-12-17,1920-11-01,4.4891
23,2024-12-17,2024-12-17,1920-12-01,4.2203
24,2024-12-17,2024-12-17,1921-01-01,3.9784
25,2024-12-17,2024-12-17,1921-02-01,3.8977
26,2024-12-17,2024-12-17,1921-03-01,3.7902
27,2024-12-17,2024-12-17,1921-04-01,3.7902
28,2024-12-17,2024-12-17,1921-05-01,3.8977
29,2024-12-17,2024-12-17,1921-06-01,3.8708
30,2024-12-17,2024-12-17,1921-07-01,3.8439
31,2024-12-17,2024-12-17,1921-08-01,3.9784
32,2024-12-17,2024-12-17,1921-09-01,4.0052
33,2024-12-17,2024-12-17,1921-10-01,4.2472
34,2024-12-17,2024-12-17,1921-11-01,4.1934
35,2024-12-17,2024-12-17,1921-12-01,4.1665
36,2024-12-17,2024-12-17,1922-01-01,4.3278
37,2024-12-17,2024-12-17,1922-02-01,4.516
38,2024-12-17,2024-12-17,1922-03-01,4.7579
39,2024-12-17,2024-12-17,1922-04-01,4.5966
40,2024-12-17,2024-12-17,1922-05-01,4.8385
41,2024-12-17,2024-12-17,1922-06-01,5.0805
42,2024-12-17,2024-12-17,1922-07-01,5.0805
43,2024-12-17,2024-12-17,1922-08-01,4.9729
44,2024-12-17,2024-12-17,1922-09-01,5.2417
45,2024-12-17,2024-12-17,1922-10-01,5.5374
46,2024-12-17,2024-12-17,1922-11-01,5.7794
47,2024-12-17,2024-12-17,1922-12-01,5.9406
48,2024-12-17,2024-12-17,1923-01-01,5.8062
49,2024-12-17,2024-12-17,1923-02-01,5.8869
50,2024-12-17,2024-12-17,1923-03-01,6.0751
51,2024-12-17,2024-12-17,1923-04-01,6.2095
52,2024-12-17,2024-12-17,1923-05-01,6.2901
53,2024-12-17,2024-12-17,1923-06-01,6.2363
54,2024-12-17,2024-12-17,1923-07-01,6.1826
55,2024-12-17,2024-12-17,1923-08-01,6.0751
56,2024-12-17,2024-12-17,1923-09-01,5.9406
57,2024-12-17,2024-12-17,1923-10-01,5.9138
58,2024-12-17,2024-12-17,1923-11-01,5.9138
59,2024-12-17,2024-12-17,1923-12-01,5.7794
60,2024-12-17,2024-12-17,1924-01-01,5.9138
61,2024-12-17,2024-12-17,1924-02-01,6.0213
62,2024-12-17,2024-12-17,1924-03-01,5.9138
63,2024-12-17,2024-12-17,1924-04-01,5.7256
64,2024-12-17,2024-12-17,1924-05-01,5.4837
