,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
0,248.93,249.1,241.8201,243.85,54988769.0,249.1,241.8201,243.85,248.93,55017091.0,1.0,0.0,AAPL,XNAS,2025-01-02T00:00:00+0000
1,252.44,253.28,249.43,250.42,39480718.0,253.28,249.43,250.42,252.44,39480718.0,1.0,0.0,AAPL,XNAS,2024-12-31T00:00:00+0000
2,252.23,253.5,250.75,252.2,35500300.0,253.5,250.75,252.2,252.23,35557542.0,1.0,0.0,AAPL,XNAS,2024-12-30T00:00:00+0000
3,257.83,258.7,253.06,255.59,42317100.0,258.7,253.06,255.59,257.83,42355321.0,1.0,0.0,AAPL,XNAS,2024-12-27T00:00:00+0000
4,258.355,260.09,257.63,259.02,27133647.0,260.1,257.63,259.02,258.19,27262983.0,1.0,0.0,AAPL,XNAS,2024-12-26T00:00:00+0000
5,255.49,258.21,255.29,258.2,23234705.0,258.21,255.29,258.2,255.49,23234705.0,1.0,0.0,AAPL,XNAS,2024-12-24T00:00:00+0000
6,254.77,255.65,253.45,255.27,37277559.0,255.65,253.45,255.27,254.77,40858774.0,1.0,0.0,AAPL,XNAS,2024-12-23T00:00:00+0000
7,248.04,255.0,245.69,254.49,146890100.0,255.0,245.69,254.49,248.04,147495267.0,1.0,0.0,AAPL,XNAS,2024-12-20T00:00:00+0000
8,247.5,252.0,247.09,249.79,59903900.0,252.0,247.0949,249.79,247.5,60882264.0,1.0,0.0,AAPL,XNAS,2024-12-19T00:00:00+0000
9,252.22,254.28,247.75,248.05,55988391.0,254.28,247.74,248.05,252.16,56774101.0,1.0,0.0,AAPL,XNAS,2024-12-18T00:00:00+0000
10,250.135,253.81,249.79,253.48,51055731.0,253.83,249.78,253.48,250.08,51356360.0,1.0,0.0,AAPL,XNAS,2024-12-17T00:00:00+0000
11,247.99,251.38,247.65,251.04,51665600.0,251.38,247.65,251.04,247.99,51694753.0,1.0,0.0,AAPL,XNAS,2024-12-16T00:00:00+0000
12,247.82,249.29,246.24,248.13,33132000.0,249.2902,246.24,248.13,247.815,33155290.0,1.0,0.0,AAPL,XNAS,2024-12-13T00:00:00+0000
13,246.945,248.74,245.68,247.96,29983256.0,248.74,245.68,247.96,246.89,32777532.0,1.0,0.0,AAPL,XNAS,2024-12-12T00:00:00+0000
14,247.945,250.8,246.2601,246.49,42854558.0,250.8,246.2601,246.49,247.96,45205814.0,1.0,0.0,AAPL,XNAS,2024-12-11T00:00:00+0000
15,246.89,248.21,245.34,247.77,36873800.0,248.21,245.34,247.77,246.89,36914806.0,1.0,0.0,AAPL,XNAS,2024-12-10T00:00:00+0000
16,241.83,247.24,241.76,246.75,43606216.0,247.24,241.75,246.75,241.83,44649232.0,1.0,0.0,AAPL,XNAS,2024-12-09T00:00:00+0000
17,242.91,244.63,242.08,242.84,36852100.0,244.63,242.08,242.84,242.905,36870619.0,1.0,0.0,AAPL,XNAS,2024-12-06T00:00:00+0000
18,243.99,244.54,242.13,243.04,39961900.0,244.54,242.13,243.04,243.99,40033878.0,1.0,0.0,AAPL,XNAS,2024-12-05T00:00:00+0000
19,242.88,244.105,241.25,243.01,41848779.0,244.11,241.25,243.01,242.87,44383935.0,1.0,0.0,AAPL,XNAS,2024-12-04T00:00:00+0000
20,239.92,242.755,238.9003,242.65,37736685.0,242.76,238.9,242.65,239.81,38861017.0,1.0,0.0,AAPL,XNAS,2024-12-03T00:00:00+0000
21,237.27,240.79,237.16,239.59,42439900.0,240.79,237.16,239.59,237.27,48137103.0,1.0,0.0,AAPL,XNAS,2024-12-02T00:00:00+0000
22,234.81,237.81,233.97,237.33,28481400.0,237.81,233.97,237.33,234.81,28481377.0,1.0,0.0,AAPL,XNAS,2024-11-29T00:00:00+0000
23,234.465,235.69,233.8101,234.93,33498439.0,235.69,233.8101,234.93,234.465,33498439.0,1.0,0.0,AAPL,XNAS,2024-11-27T00:00:00+0000
24,233.475,235.57,233.475,235.06,44991117.0,235.57,233.33,235.06,233.33,45986189.0,1.0,0.0,AAPL,XNAS,2024-11-26T00:00:00+0000
25,231.46,233.25,229.74,232.87,89984500.0,233.245,229.74,232.87,231.46,90152832.0,1.0,0.0,AAPL,XNAS,2024-11-25T00:00:00+0000
26,228.06,230.72,228.06,229.87,38153300.0,230.7199,228.06,229.87,228.06,38168252.0,1.0,0.0,AAPL,XNAS,2024-11-22T00:00:00+0000
27,228.88,230.16,225.71,228.52,42071900.0,230.155,225.7103,228.52,228.88,42108327.0,1.0,0.0,AAPL,XNAS,2024-11-21T00:00:00+0000
28,228.06,229.93,225.89,229.0,35112500.0,229.93,225.89,229.0,228.06,35169566.0,1.0,0.0,AAPL,XNAS,2024-11-20T00:00:00+0000
29,226.795,230.16,226.66,228.28,34871882.0,230.16,226.66,228.28,226.98,36211774.0,1.0,0.0,AAPL,XNAS,2024-11-19T00:00:00+0000
30,225.2,229.74,225.18,228.02,44555294.0,229.74,225.17,228.02,225.25,44686020.0,1.0,0.0,AAPL,XNAS,2024-11-18T00:00:00+0000
31,226.4,226.92,224.27,225.0,47832200.0,226.92,224.27,225.0,226.4,47923696.0,1.0,0.0,AAPL,XNAS,2024-11-15T00:00:00+0000
32,225.02,228.87,225.0,228.22,44880200.0,228.87,225.0,228.22,225.02,44923941.0,1.0,0.0,AAPL,XNAS,2024-11-14T00:00:00+0000
33,224.01,226.65,222.76,225.12,48528500.0,226.65,222.76,225.12,224.01,48566217.0,1.0,0.0,AAPL,XNAS,2024-11-13T00:00:00+0000
34,224.55,225.59,223.36,224.23,40375300.0,225.59,223.355,224.23,224.55,40398299.0,1.0,0.0,AAPL,XNAS,2024-11-12T00:00:00+0000
35,225.0,225.7,221.5,224.23,41949000.0,225.7,221.5,224.23,225.0,42005602.0,1.0,0.0,AAPL,XNAS,2024-11-11T00:00:00+0000
36,227.17,228.66,226.41,226.96,38308700.0,228.66,226.405,226.96,227.17,38328824.0,1.0,0.25,AAPL,XNAS,2024-11-08T00:00:00+0000
37,224.63,227.88,224.57,227.48,42083800.0,227.875,224.57,227.23,224.625,42137691.0,1.0,0.0,AAPL,XNAS,2024-11-07T00:00:00+0000
38,222.61,226.07,221.19,222.72,54495200.0,226.065,221.19,222.72,222.61,54561121.0,1.0,0.0,AAPL,XNAS,2024-11-06T00:00:00+0000
39,221.795,223.945,221.795,223.45,27890524.0,223.95,221.14,223.45,221.795,28111338.0,1.0,0.0,AAPL,XNAS,2024-11-05T00:00:00+0000
40,220.99,222.79,219.71,222.01,44903300.0,222.79,219.71,222.01,220.99,44944468.0,1.0,0.0,AAPL,XNAS,2024-11-04T00:00:00+0000
41,220.97,225.35,220.27,222.91,65242200.0,225.35,220.27,222.91,220.965,65276741.0,1.0,0.0,AAPL,XNAS,2024-11-01T00:00:00+0000
42,229.34,229.83,225.37,225.91,63960700.0,229.83,225.37,225.91,229.34,64370086.0,1.0,0.0,AAPL,XNAS,2024-10-31T00:00:00+0000
43,232.62,233.47,229.56,230.1,45894362.0,233.47,229.55,230.1,232.61,47070907.0,1.0,0.0,AAPL,XNAS,2024-10-30T00:00:00+0000
44,233.195,234.32,232.32,233.67,30768254.0,234.325,232.32,233.67,233.1,35417247.0,1.0,0.0,AAPL,XNAS,2024-10-29T00:00:00+0000
45,233.315,234.73,232.55,233.4,34733733.0,234.73,232.55,233.4,233.32,36087134.0,1.0,0.0,AAPL,XNAS,2024-10-28T00:00:00+0000
46,229.74,233.22,229.57,231.41,38776700.0,233.22,229.57,231.41,229.74,38802304.0,1.0,0.0,AAPL,XNAS,2024-10-25T00:00:00+0000
47,229.98,230.82,228.41,230.57,31071100.0,230.82,228.41,230.57,229.98,31109503.0,1.0,0.0,AAPL,XNAS,2024-10-24T00:00:00+0000
48,234.32,235.144,227.76,230.76,50657958.0,235.144,227.76,230.76,234.08,52286979.0,1.0,0.0,AAPL,XNAS,2024-10-23T00:00:00+0000
49,233.83,236.19,232.61,235.86,34958938.0,236.22,232.6,235.86,233.885,38846578.0,1.0,0.0,AAPL,XNAS,2024-10-22T00:00:00+0000
50,234.45,236.85,234.45,236.48,35059099.0,236.85,234.45,236.48,234.45,36254470.0,1.0,0.0,AAPL,XNAS,2024-10-21T00:00:00+0000
51,236.18,236.18,234.01,235.0,46416300.0,236.18,234.01,235.0,236.18,46431472.0,1.0,0.0,AAPL,XNAS,2024-10-18T00:00:00+0000
52,233.43,233.85,230.52,232.15,32978900.0,233.85,230.52,232.15,233.43,32993810.0,1.0,0.0,AAPL,XNAS,2024-10-17T00:00:00+0000
53,231.62,232.12,229.85,231.78,32657566.0,232.12,229.84,231.78,231.6,34082240.0,1.0,0.0,AAPL,XNAS,2024-10-16T00:00:00+0000
54,233.59,237.49,232.37,233.85,61901688.0,237.49,232.37,233.85,233.61,64751367.0,1.0,0.0,AAPL,XNAS,2024-10-15T00:00:00+0000
55,228.7,231.7278,228.6,231.3,32607921.0,231.73,228.6,231.3,228.7,39882085.0,1.0,0.0,AAPL,XNAS,2024-10-14T00:00:00+0000
56,229.3,229.41,227.34,227.55,31668000.0,229.41,227.34,227.55,229.3,31759188.0,1.0,0.0,AAPL,XNAS,2024-10-11T00:00:00+0000
