,realtime_start,realtime_end,date,value
0,2024-12-20,2024-12-20,1946-01-01,.
1,2024-12-20,2024-12-20,1946-04-01,.
2,2024-12-20,2024-12-20,1946-07-01,.
3,2024-12-20,2024-12-20,1946-10-01,.
4,2024-12-20,2024-12-20,1947-01-01,10.875
5,2024-12-20,2024-12-20,1947-04-01,11.294
6,2024-12-20,2024-12-20,1947-07-01,11.77
7,2024-12-20,2024-12-20,1947-10-01,9.289
8,2024-12-20,2024-12-20,1948-01-01,7.293
9,2024-12-20,2024-12-20,1948-04-01,5.205
10,2024-12-20,2024-12-20,1948-07-01,4.949
11,2024-12-20,2024-12-20,1948-10-01,4.501
12,2024-12-20,2024-12-20,1949-01-01,6.478
13,2024-12-20,2024-12-20,1949-04-01,6.283
14,2024-12-20,2024-12-20,1949-07-01,5.179
15,2024-12-20,2024-12-20,1949-10-01,2.999
16,2024-12-20,2024-12-20,1950-01-01,2.203
17,2024-12-20,2024-12-20,1950-04-01,1.643
18,2024-12-20,2024-12-20,1950-07-01,-0.74
19,2024-12-20,2024-12-20,1950-10-01,-0.154
20,2024-12-20,2024-12-20,1951-01-01,0.177
21,2024-12-20,2024-12-20,1951-04-01,1.943
22,2024-12-20,2024-12-20,1951-07-01,3.742
23,2024-12-20,2024-12-20,1951-10-01,4.19
24,2024-12-20,2024-12-20,1952-01-01,3.721
25,2024-12-20,2024-12-20,1952-04-01,1.951
26,2024-12-20,2024-12-20,1952-07-01,-0.004
27,2024-12-20,2024-12-20,1952-10-01,-1.013
28,2024-12-20,2024-12-20,1953-01-01,-0.667
29,2024-12-20,2024-12-20,1953-04-01,-1.251
30,2024-12-20,2024-12-20,1953-07-01,-0.552
31,2024-12-20,2024-12-20,1953-10-01,-0.335
32,2024-12-20,2024-12-20,1954-01-01,-0.356
33,2024-12-20,2024-12-20,1954-04-01,0.254
34,2024-12-20,2024-12-20,1954-07-01,0.574
35,2024-12-20,2024-12-20,1954-10-01,1.145
36,2024-12-20,2024-12-20,1955-01-01,1.104
37,2024-12-20,2024-12-20,1955-04-01,-0.155
38,2024-12-20,2024-12-20,1955-07-01,0.724
39,2024-12-20,2024-12-20,1955-10-01,0.24
40,2024-12-20,2024-12-20,1956-01-01,0.44
41,2024-12-20,2024-12-20,1956-04-01,1.909
42,2024-12-20,2024-12-20,1956-07-01,2.569
43,2024-12-20,2024-12-20,1956-10-01,4.527
44,2024-12-20,2024-12-20,1957-01-01,4.819
45,2024-12-20,2024-12-20,1957-04-01,4.099
46,2024-12-20,2024-12-20,1957-07-01,3.997
47,2024-12-20,2024-12-20,1957-10-01,3.388
48,2024-12-20,2024-12-20,1958-01-01,1.079
49,2024-12-20,2024-12-20,1958-04-01,0.471
50,2024-12-20,2024-12-20,1958-07-01,0.856
51,2024-12-20,2024-12-20,1958-10-01,-0.26
52,2024-12-20,2024-12-20,1959-01-01,0.519
53,2024-12-20,2024-12-20,1959-04-01,-0.768
54,2024-12-20,2024-12-20,1959-07-01,1.211
55,2024-12-20,2024-12-20,1959-10-01,0.627
