[2025-01-03T17:16:25.003-0800] {processor.py:186} INFO - Started process (PID=57106) to work on /opt/anaconda3/envs/airflow_env/lib/python3.9/site-packages/airflow/example_dags/example_datasets.py
[2025-01-03T17:16:25.004-0800] {processor.py:914} INFO - Processing file /opt/anaconda3/envs/airflow_env/lib/python3.9/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2025-01-03T17:16:25.005-0800] {logging_mixin.py:190} INFO - [2025-01-03T17:16:25.005-0800] {dagbag.py:588} INFO - Filling up the DagBag from /opt/anaconda3/envs/airflow_env/lib/python3.9/site-packages/airflow/example_dags/example_datasets.py
[2025-01-03T17:16:25.158-0800] {processor.py:925} INFO - DAG(s) 'dataset_consumes_1_never_scheduled', 'dataset_consumes_unknown_never_scheduled', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'consume_1_and_2_with_dataset_expressions', 'consume_1_or_2_with_dataset_expressions', 'conditional_dataset_and_time_based_timetable', 'dataset_produces_1', 'dataset_consumes_1', 'dataset_consumes_1_and_2', 'dataset_produces_2' retrieved from /opt/anaconda3/envs/airflow_env/lib/python3.9/site-packages/airflow/example_dags/example_datasets.py
[2025-01-03T17:16:25.350-0800] {logging_mixin.py:190} INFO - [2025-01-03T17:16:25.350-0800] {dag.py:3239} INFO - Sync 10 DAGs
[2025-01-03T17:16:25.380-0800] {logging_mixin.py:190} INFO - [2025-01-03T17:16:25.380-0800] {dag.py:4180} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2025-01-01 01:00:00+00:00, run_after=2025-01-01 01:00:00+00:00
[2025-01-03T17:16:25.384-0800] {logging_mixin.py:190} INFO - [2025-01-03T17:16:25.384-0800] {dag.py:4180} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2025-01-03T17:16:25.386-0800] {logging_mixin.py:190} INFO - [2025-01-03T17:16:25.386-0800] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2025-01-03T17:16:25.387-0800] {logging_mixin.py:190} INFO - [2025-01-03T17:16:25.387-0800] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2025-01-03T17:16:25.389-0800] {logging_mixin.py:190} INFO - [2025-01-03T17:16:25.389-0800] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2025-01-03T17:16:25.392-0800] {logging_mixin.py:190} INFO - [2025-01-03T17:16:25.392-0800] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2025-01-03T17:16:25.394-0800] {logging_mixin.py:190} INFO - [2025-01-03T17:16:25.394-0800] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2025-01-03T17:16:25.397-0800] {logging_mixin.py:190} INFO - [2025-01-03T17:16:25.397-0800] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2025-01-03T17:16:25.402-0800] {logging_mixin.py:190} INFO - [2025-01-03T17:16:25.402-0800] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_1 to 2025-01-03 00:00:00+00:00, run_after=2025-01-04 00:00:00+00:00
[2025-01-03T17:16:25.405-0800] {logging_mixin.py:190} INFO - [2025-01-03T17:16:25.404-0800] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2025-01-03T17:16:25.448-0800] {processor.py:208} INFO - Processing /opt/anaconda3/envs/airflow_env/lib/python3.9/site-packages/airflow/example_dags/example_datasets.py took 0.450 seconds
